,case,result,get
0,373,-1,0
2,374,1,0
3,375,1,0
4,376,-1,0
5,377,1,0
6,378,1,0
7,379,-1,0
8,380,1,0
9,381,-1,0
10,382,-1,0
11,383,1,0
12,384,1,0
13,385,1,0
14,386,1,0
15,387,1,0
16,388,1,0
17,389,1,0
18,390,-1,0
19,391,-1,0
20,392,1,0
21,393,1,0
22,394,-1,0
