,case,result,get
0,289,1,0
2,290,-1,0
3,291,1,0
4,292,1,0
5,293,-1,0
6,294,-1,0
7,295,1,0
8,296,1,0
9,297,1,0
10,298,-1,0
11,299,-1,0
12,300,1,0
13,301,1,0
14,302,1,0
15,303,-1,0
16,304,-1,0
17,305,1,0
18,306,1,0
19,307,-1,0
20,308,1,0
21,309,-1,0
22,310,1,0
