,case,result,get
0,405,-1,0
2,406,-1,0
3,407,-1,0
4,408,1,0
5,409,1,0
6,410,-1,0
7,411,1,0
8,412,-1,0
9,413,-1,0
10,414,1,0
11,415,-1,0
12,416,-1,0
13,417,1,0
