,case,result,get
0,312,-1,0
2,313,1,0
3,314,-1,0
4,315,-1,0
5,316,-1,0
6,317,-1,0
7,318,1,0
8,319,-1,0
9,320,-1,0
10,321,1,0
11,322,-1,0
12,323,1,0
13,324,-1,0
14,325,1,0
15,326,1,0
16,327,1,0
17,328,1,0
18,329,1,0
