,case,result,get
0,168,-1,0
2,169,1,0
3,170,-1,0
4,171,1,0
5,172,-1,0
6,173,1,0
7,174,1,0
8,175,-1,0
9,176,-1,0
10,177,-1,0
11,178,1,0
12,179,1,0
13,180,-1,0
14,181,-1,0
